cge,Evo,EvoRep,TechRep,Sample,vial,final_n,threshold_10,T10,status
coldcge,Hot,H1,D,Hot.1.D,coldcge.Hot.1.D,61,6.1,19.8133333333333,interpolated
coldcge,Hot,H1,E,Hot.1.E,coldcge.Hot.1.E,50,5,20,interpolated
coldcge,Hot,H2,A,Hot.2.A,coldcge.Hot.2.A,84,8.4,20.68,interpolated
coldcge,Hot,H2,B,Hot.2.B,coldcge.Hot.2.B,79,7.9,20.4363636363636,interpolated
coldcge,Hot,H2,C,Hot.2.C,coldcge.Hot.2.C,87,8.7,20.3384615384615,interpolated
coldcge,Hot,H2,D,Hot.2.D,coldcge.Hot.2.D,89,8.9,21.0947368421053,interpolated
coldcge,Hot,H2,E,Hot.2.E,coldcge.Hot.2.E,87,8.7,20.5818181818182,interpolated
coldcge,Hot,H3,A,Hot.3.A,coldcge.Hot.3.A,78,7.8,20.04,interpolated
coldcge,Hot,H3,B,Hot.3.B,coldcge.Hot.3.B,70,7,20,interpolated
coldcge,Hot,H3,C,Hot.3.C,coldcge.Hot.3.C,89,8.9,21.2714285714286,interpolated
coldcge,Hot,H3,D,Hot.3.D,coldcge.Hot.3.D,71,7.1,20.0923076923077,interpolated
coldcge,Hot,H3,E,Hot.3.E,coldcge.Hot.3.E,66,6.6,20.32,interpolated
coldcge,Hot,H4,A,Hot.4.A,coldcge.Hot.4.A,86,8.6,19.9052631578947,interpolated
coldcge,Hot,H4,B,Hot.4.B,coldcge.Hot.4.B,73,7.3,20.825,interpolated
coldcge,Hot,H4,C,Hot.4.C,coldcge.Hot.4.C,74,7.4,19.9866666666667,interpolated
coldcge,Hot,H4,D,Hot.4.D,coldcge.Hot.4.D,63,6.3,19.9692307692308,interpolated
coldcge,Hot,H4,E,Hot.4.E,coldcge.Hot.4.E,60,6,19.6315789473684,interpolated
