cge,run,chamber,cycle,Evo,EvoRep,Sex,TechRep,co2,o2,RER,FlyDead,FlyNum,NetWeight
hotcge,3,5,9,Ancestral,A4,Male,C,13.9584522452796,14.0867097921345,0.990895138130374,0,29,6.6
hotcge,3,5,10,Ancestral,A4,Male,C,15.7625312615133,17.9534641760648,0.877966007391913,0,29,6.6
hotcge,3,5,11,Ancestral,A4,Male,C,15.251858067393,17.2372217478225,0.884821132461193,0,29,6.6
hotcge,3,5,12,Ancestral,A4,Male,C,16.544809403088,17.380851583995,0.951898664063339,0,29,6.6
hotcge,3,5,13,Ancestral,A4,Male,C,15.5575462846734,17.432760974475,0.892431572225003,0,29,6.6
hotcge,3,5,14,Ancestral,A4,Male,C,14.7830588142132,18.204261643704,0.812065828515817,0,29,6.6
hotcge,3,6,2,Hot,H2,Female,B,41.18309090406,43.4821459563225,0.947126458418775,0,29,11.3
hotcge,3,6,3,Hot,H2,Female,B,41.709457997793,43.6500409091063,0.955542243010627,0,29,11.3
hotcge,3,6,4,Hot,H2,Female,B,40.709538933396,43.993172567667,0.925360381108674,0,29,11.3
hotcge,3,6,5,Hot,H2,Female,B,40.192746577776,44.281664528517,0.907661150630239,0,29,11.3
hotcge,3,6,6,Hot,H2,Female,B,39.473505433494,41.4926593015275,0.95133708222073,0,29,11.3
hotcge,3,6,7,Hot,H2,Female,B,39.1345722108,41.541293035143,0.942064373819395,0,29,11.3
hotcge,3,6,8,Hot,H2,Female,B,39.829545471672,42.146133721395,0.94503438286803,0,29,11.3
hotcge,3,6,9,Hot,H2,Female,B,41.01517500654,43.030497517938,0.953165251910976,0,29,11.3
hotcge,3,6,10,Hot,H2,Female,B,39.562713684585,40.39014865158,0.979513941032187,0,29,11.3
hotcge,3,6,11,Hot,H2,Female,B,39.873939657192,41.9694241764285,0.950071163463486,0,29,11.3
hotcge,3,6,12,Hot,H2,Female,B,40.667165443344,40.9600836961125,0.992848690082235,0,29,11.3
hotcge,3,6,13,Hot,H2,Female,B,40.748513047584,41.980010862132,0.970664661841265,0,29,11.3
hotcge,3,6,14,Hot,H2,Female,B,41.596687612116,43.015767159177,0.967010246689085,0,29,11.3
hotcge,3,7,2,Hot,H2,Female,A,41.98942027908,46.01507323212,0.912514472535274,0,29,11.4
hotcge,3,7,3,Hot,H2,Female,A,42.11161202451,44.1820469354963,0.953138547111477,0,29,11.4
hotcge,3,7,4,Hot,H2,Female,A,41.67651610788,44.472142903482,0.937137573926461,0,29,11.4
hotcge,3,7,5,Hot,H2,Female,A,41.87736936192,45.03802262688,0.92982255701711,0,29,11.4
hotcge,3,7,6,Hot,H2,Female,A,40.091828845152,42.937621849059,0.933722621762543,0,29,11.4
hotcge,3,7,7,Hot,H2,Female,A,42.209914361121,45.4561767420053,0.928584790592728,0,29,11.4
hotcge,3,7,8,Hot,H2,Female,A,40.938301248822,44.1570831102472,0.927106103150227,0,29,11.4
hotcge,3,7,9,Hot,H2,Female,A,39.636712772667,42.1100103282712,0.941265805058619,0,29,11.4
hotcge,3,7,10,Hot,H2,Female,A,40.5655030041,40.9165006343033,0.99142161170281,0,29,11.4
hotcge,3,7,11,Hot,H2,Female,A,40.912877881233,43.9426193996295,0.931052323239019,0,29,11.4
hotcge,3,7,12,Hot,H2,Female,A,40.742038695834,43.132258869777,0.944583932384356,0,29,11.4
hotcge,3,7,13,Hot,H2,Female,A,41.28939008361,42.0046170439995,0.982972658466561,0,29,11.4
hotcge,3,7,14,Hot,H2,Female,A,40.67702546922,41.2556613433808,0.98597438859737,0,29,11.4
hotcge,3,9,2,Cold,C2,Male,C,42.258313125978,45.6992253022995,0.924705240547079,0,29,7.2
hotcge,3,9,3,Cold,C2,Male,C,34.76045087721,37.43601320664,0.928529720441614,0,29,7.2
hotcge,3,9,4,Cold,C2,Male,C,30.57753923262,33.2571873589335,0.919426495770885,0,29,7.2
hotcge,3,9,5,Cold,C2,Male,C,23.5507201172658,26.7292196435115,0.881085210543463,0,29,7.2
hotcge,3,9,6,Cold,C2,Male,C,22.1555249863068,24.3796434762458,0.908771492408984,0,29,7.2
hotcge,3,9,7,Cold,C2,Male,C,19.863234518127,21.99328242111,0.903150068179978,0,29,7.2
hotcge,3,9,8,Cold,C2,Male,C,22.848176389038,26.970929410425,0.847140861975878,0,29,7.2
hotcge,3,9,9,Cold,C2,Male,C,25.034809230303,28.5628751553758,0.876480714708136,0,29,7.2
hotcge,3,9,10,Cold,C2,Male,C,28.1681414406,31.10637558987,0.905542381793048,0,29,7.2
hotcge,3,9,11,Cold,C2,Male,C,27.520365522996,29.2647751642995,0.940392173474426,0,29,7.2
hotcge,3,9,12,Cold,C2,Male,C,27.23792099571,29.8406592791265,0.912778794226,0,29,7.2
